moonport|-02:37:22||The countdown proceeded. At T-82 minutes launch control reported the cabin purge had been completed, and the booster protective cover closed. The spacecraft was pressurized and checked for leaks. Houston tested its command signals to the launch vehicle, and the first-motion signal was checked out with Houston and the Eastern Test Range; the next time, it would bring them word of liftoff. The last weather balloon was released to determine wind direction. In the meantime the C-band and Q-ball tests were in hand. The first was used in tracking to report range velocity during the powered phase. The Q-ball, perched above the launch escape system, would warn the spacecraft commander of deviations in the first stages of flight. Cernan reported things looking good "up here." His next task was to check out the emergency hand control for the service module engine, normally operated by a computer. Far below him, little white wisps marked the topping off of the propellant loads.
moonport|-02:15:33||At T-1 hour, the close-out crew had secured the white room and was clearing the pad area. The elevators were set at the 96-meter level, for the astronauts' use in an emergency. At T-50 minutes the launch control center initiated the power transfer test, switching the vehicle momentarily onto its own battery power and then restoring external power. Some five minutes later, swing arm 9 - the access arm to the spacecraft - retracted 12 degrees to a standby position. Range safety test signals were flashing to the still unarmed destruct receivers.
Oral History 2000|-01:16:23|Schmitt|We went into the final countdown and got to thirty seconds, and everything had come alive beneath us. The gimbals were moving and the rocket, you could feel it. You're lying there on your back, you could feel the engines moving down a football field below you or more, as it prepared for ignition.
moonport|-01:16:02||At T-3 minutes and 7 seconds, the automatic sequencer took over. This sequencer, the oldest and most reliable piece of automation on LC-39, chose this moment in the launching of the last Apollo to cause trouble. At T-30 seconds it went into an automatic cutoff indicating that one of the essential operations leading to the launch of the space vehicle had not been properly completed. Besides halting the countdown, the cutoff started a series of "safing" procedures which included the return of swing arm 9 to a standby position.
Oral History 1999|-01:03:22|Schmitt|The one thing that you don’t want to do is have a aborted launch on a launch pad and have to recycle and come back a month later and go through another month of simulator training. You’re ready to go when you’re ready to go. And I think everybody felt that way.
Oral History 2000|-01:03:22|Schmitt|You certainly don't want to recycle for another month. That was the first thought we had on the launch pad when we did, in fact, have a delay, was that, well, let's hope that we don't have to go through this for another month. You would have gotten into it and done it and then never noticed the difference, but still at the immediate point of being ready to launch, you're ready to launch, there's no question about that.
Oral History 2000|-01:01:33|Schmitt|Somewhere in the deep dark past of computer programming, a programmer had told the final sequencing checks that the computer was going to do — to look to see if a signal to pressurize a booster oxygen tank had been sent. Not whether it had been received and acted upon, but had the signal been sent.
Oral History 2000|-01:01:33|Schmitt|Well, when they went through that particular point where that signal was supposed to have been sent and the tank pressurized, the signal didn't get sent. The computer didn't send the signal, but the person in the launch control center saw that that didn't happen and just pressed a button and pressurized the tank. So everything was fine, but the computer didn't know it. When they went through the final sequence, the computer saw that that signal hadn't been sent, and it said "Hold."
Oral History 2000|-01:01:33|Schmitt|So the computer just shut everything down. That's what you want them to do, it's just that it was programmed wrong. Garbage in, garbage out. So what they did, they actually went into the launch computers, tracked down that point and hard-wired around that particular sensor so that the next time the computer went through, it would believe that the signal had been sent. Sure enough, it believed it, and off we went. We were two hours and forty minutes late, but, nevertheless, we were on our way.
|-00:49:26||Launch director Skip (Clarence) Chauvin explained the situation to the crew. Schmitt managed to nap during the delay.
