2014Icar..229..109F|2014|New evidence for chondritic lunar water from combined D/H and noble gas analyses of single Apollo 17 volcanic glasses|Füri, Evelyn, Deloule, Etienne, Gurenko, Andrey, Marty, Bernard|Icarus|229||109|In order to assess the proportion of solar, cosmogenic, and indigenous water (hydrogen) trapped in individual Ti-rich lunar volcanic glasses (LVGs) from the 74002 core obtained during the Apollo 17 mission, we coupled ion microprobe measurements of water abundances and D/H ratios with CO<SUB>2</SUB> laser extraction-static mass spectrometry analyses of noble gases (He, Ne, Ar). The large (∼300-400 μm in diameter) LVGs studied here contain a small amount of solar wind (SW) volatiles implanted at the grain surfaces, as indicated by the small concentrations of solar helium and neon that represent ⩽5% of the respective total noble gas abundances. The large proportion of volume-correlated cosmogenic gases reflects an exposure duration of ∼28 Ma, on average, of the glasses at the lunar surface. Hydrogen abundances determined in the grain interiors of glassy and partially-crystalline LVGs are equivalent to between 6.5 and 54.3 ppm H<SUB>2</SUB>O. Based on the noble gas exposure ages, the correction of the measured hydrogen isotope composition for in situ production of cosmogenic deuterium by spallation reactions varies between -5‰ to -254‰ for the different grains. Corrected δD values range from +38‰ to +809‰ in the LVGs and are anti-correlated with the water content, consistent with extensive hydrogen isotope fractionation during kinetic H<SUB>2</SUB> loss from a lunar melt with an inferred initial isotope signature of the order of -100‰ and a water content of 100-300 ppm. The detection of water in these primitive lunar melts confirms the presence of a non-anhydrous mantle reservoir within the Moon. Furthermore, our results reveal that the hydrogen isotope composition of water in the melt source of the 74002 LVGs is similar to that of carbonaceous chondrites. These observations indicate that the contribution of deuterium-enriched cometary water to the Earth-Moon system is negligible.|http://dx.doi.org/10.1016/j.icarus.2013.10.029
1998GeCoA..62.2389F|1998|<SUP>41</SUP>Ca, <SUP>26</SUP>Al, and <SUP>10</SUP>Be in lunar basalt 74275 and <SUP>10</SUP>Be in the double drive tube 74002/74001|Fink, D., Klein, J., Middleton, R., Vogt, S., Herzog, G. F., Reedy, R. C.|Geochimica et Cosmochimica Acta|62|13|2389|We report depth profiles of the cosmogenic radionuclides <SUP>10</SUP>Be, <SUP>26</SUP>Al, and <SUP>41</SUP>Ca in the titanium-rich lunar basalt 74275. The <SUP>10</SUP>Be profile is flat: <SUP>10</SUP>Be activities are confined to a narrow range between 9.6 and 11.2 dpm/kg but are nonetheless consistent with a small contribution of about 1-2 dpm/kg from solar cosmic rays. The <SUP>26</SUP>Al profile shows the steep decrease with increasing depth that is characteristic of nuclides whose production is dominated by solar cosmic rays. <SUP>41</SUP>Ca activities decrease from about 22 dpm/kg at the surface to a minimum of ̃9 dpm/kg at a depth of 4.7 g/cm <SUP>2</SUP> and then increase to ̃11 dpm/kg at a depth of 15.8 g/cm <SUP>2</SUP>. The sharp decrease near the surface identifies for the first time production of <SUP>41</SUP>Ca by solar cosmic rays. We also report <SUP>10</SUP>Be measurements for six samples from lunar core 74002/1. The <SUP>10</SUP>Be activities range from approximately 8 to 14 dpm/kg. We model the production of <SUP>10</SUP>Be, <SUP>26</SUP>Al, and <SUP>41</SUP>Ca in lunar rock 74275 by including published data that indicate a long exposure to galactic cosmic rays at a depth of 140 g/cm <SUP>2</SUP> followed by one at the surface lasting 2.8 Ma. Cosmogenic radionuclide production by galactic cosmic rays, and, in the case of <SUP>41</SUP>Ca, by thermal neutrons is estimated from published measurements and semi-empirical calculations. Our model includes a new calculation of production rates due to solar cosmic rays and incorporates recently published cross section measurements. Although many parameterizations of the flux of solar energetic particles give acceptable fits to the experimental data for 74275, we prefer a best fit obtained for <SUP>10</SUP>Be and <SUP>26</SUP>Al alone, which incorporates an erosion rate of ̃2 mm/Ma, a rigidity of 100 MV, and a 4π flux of protons with energies greater than 10 MeV of 89 cm <SUP>-2</SUP> s <SUP>-1</SUP>. For <SUP>41</SUP>Ca alone, the corresponding values are 2 mm/Ma, 80 MV, and 198 cm <SUP>-2</SUP> s <SUP>-1</SUP>. The differences between the two sets of parameters may reflect uncertainties in the calculations of <SUP>41</SUP>Ca production or a secular change in the solar cosmic ray flux. Calculations for a slab and for a hemispherical knob with a radius of 23 cm yield similar results.|http://dx.doi.org/10.1016/S0016-7037(98)00134-3
1992LPSC...22..215K|1992|Evolution of isotopic signatures in lunar-regolith nitrogen: noble gases and nitrogen in grain-size fractions from regolith breccia 79035.|Kerridge, J. F., Kim, J. S., Kim, Y., Marti, K.|Lunar and Planetary Science Conference Proceedings|22||215|Ilmenite and pyroxene grain-size separates from 79035 were analyzed for trapped N; the ilmenite was also analyzed for trapped Xe. Ilmenite N contains two or more isotopically distinct trapped components differing in release temperature and therefore plausibly in implantation energy. The isotopically light, higher-temperature (higher-energy?) component has a delta N-15 value equal to -180 percent, significantly above the minimum value observed in bulk 79035, suggesting that parts of 79035 were exposed on the lunar surface earlier than the ilmenite. Using trapped Ar-40/Ar-36 and cosmogenic Ne-21 (Benkert, 1989) a compaction age of about 1 Ga was derived for the ilmenite. This implies a considerably more recent exposure than previously thought, and suggests that the long-term change in delta N-15 of regolith N was more rapid than generally believed. Comparison of these results with those for black/orange glass from 74001/74002 (compaction age 3.7 Ga; delta N-15 in the range -36 to +18 percent (Kerridge et al., 1991) indicates that the long-term trend may have followed a complex evolutionary path. Data for 79035 pyroxenes are consistent with the ilmenite compaction age but suggest a more complex exposure history.|
1991LPSC...21..291K|1991|Nitrogen isotopes in the 74001/74002 double-drive tube from Shorty Crater, Apollo 17.|Kerridge, J. F., Eugster, O., Kim, J. S., Marti, K.|Lunar and Planetary Science Conference Proceedings|21||291|Trapped N in the black/orange glass at different levels of the 74001/74002 double-drive tube can be used to address two questions: the isotopic composition of indigenous N exhaled from the lunar interior 3.7 Ga ago; and the nature of extralunar N incident upon the lunar surface during the same epoch. Indigenous lunar N is found to have the same δ<SUP>15</SUP>N value as N in terrestrial mantle samples with high <SUP>3</SUP>He/<SUP>4</SUP>He ratios. This suggests that the lunar interior and the terrestrial mantle acquired their N, and possibly other volatiles, from a common nebular reservoir. The ancient extralunar N reveals evidence for a <SUP>15</SUP>N-enriched component present on the lunar surface 3.7 Ga ago, together with <SUP>15</SUP>N-depleted N. However, the role of these components, for neither of which a solar origin can be excluded, in explaining the long-term increase in <SUP>15</SUP>N/<SUP>14</SUP>N ratio of regolith N on the Moon is not yet clear.|
1983LPSC...14..211N|1983|Mn-53 profiles in four Apollo surface cores|Nishiizumi, K., Murrell, M. T., Arnold, J. R.|Lunar and Planetary Science Conference Proceedings|88||B211|Mn-53 data are presented for four Apollo cores with an emphasis on the past 10-to-the-7th-year history of these samples: (1) Core 15011 has excess Mn-53 down to a depth of at least 9 cm, which is probably due to the continuous addition of near-surface irradiated material. (2) The Mn-53 profile for 64002 above 12 cm is relatively flat and in excess of that calculated for a static core, which suggests that the upper part of this core was deposited rapidly about 2 m.y. ago. (3) Results for the Apollo 17 drill stem show a large excess of Mn-53 from at least 3 cm downwards. Some magnetic separates obtained from this core have very high Mn-53 activities, probably due to the presence of agglutinates that were recently irradiated very near the surface. (4) The Mn-53 content of the upper part of 74002 is similar to that of trench samples collected nearby and indicates that the gray, orange, and black soils at this site have been exposed together near the surface for at least the last 10 m.y.|http://dx.doi.org/10.1029/JB088iS01p0B211
1983GeCoA..47..491D|1983|Sulphur content and sulphur isotope composition of orange and black glasses in Apollo 17 drive tube 74002/1|Ding, T. P., Thode, H. G., Rees, C. E.|Geochimica et Cosmochimica Acta|47|3|491|The sulphur contents and δ<SUP>34</SUP>S values have been determined for the bulk and various grain size fractions of three 74002/1 lunar drive tube samples. The sulphur contents of the bulk samples ate much lower than those of other lunar soils. These samples, along with the surface orange soil 74220 analysed previously, show an increase of sulphur concentration with decreasing particle size which is more marked than for other soils and indicates that the orange and black glass droplets have a coating enriched in sulphur and other volatile elements. In sharp contrast with other soils, the orange and black glasses have slight positive δ<SUP>34</SUP>S values for large particles while the smallest particle sizes show negative δ<SUP>34</SUP>S values. This indicates that the coating of the glassy droplets is enriched in isotopically light sulphur. These observations favour the theory that the orange and black glasses were generated by a volcanic fire fountain. The anomalously high δ<SUP>34</SUP>S values of the fine fractions of the core bottom sample, 74001-135, combined with the results of an acid leaching experiment, indicate that these fractions are contaminated, possibly by a mature soil of high sulphur content and relatively positive δ<SUP>34</SUP>S value.|http://dx.doi.org/10.1016/0016-7037(83)90271-5
1980LPSC...11.1551K|1980|Distribution of volatile and non vilatile elements in grain-size fractions of Apollo 17 drive tube 74001/2.|Krähenbühl, U.|Lunar and Planetary Science Conference Proceedings|2||1551|A study of four samples of double drive tube 74001/2 originating from 12, 25, 38, and 58 cm depths indicates that the concentrations of major and nonvolatile elements are fairly uniform for the four layers and the individual size fractions, while volatile elements as well as Au and Ir are enriched in the smaller grain-size fractions. It is concluded from the measured Au/Ir ratios and from the absence of a surface enrichment of Co that the material in the drive tube 74001/2 is not the result of an impact of an iron meteorite into a lava lake, but originated in at least three volcanic eruptions. No indication of a later disturbance of the stratigraphy of the layers is observed. Exposure ages of 345,000 and 225,000 years result from Ir deposits for the two layers of 74002.|
1980LPSC...11.1593P|1980|Multispectral imaging of the lunar regolith core samples: preliminary results for 74002.|Pieters, C. M., Hawke, B. R., Butler, P., Waltz, S. R., Nagle, J. S.|Lunar and Planetary Science Conference Proceedings|2||1593|Multispectral images of a lunar core segment are a new form of continuous data along the length of the core. A new laboratory arrangement was developed to obtain these images. Data processing and initial data analysis for core section 74002 were performed. The images are sensitive to variations in mineralogy and/or maturity of the soil and are easily used (1) in stratigraphic studies of the lunar regolith, (2) for sample selection of representative material, and (3) as ground truth for remote sensing studies.|
1979LPSC...10.1381C|1979|Regolith reworking at Shorty Crater.|Crozaz, G.|Lunar and Planetary Science Conference Proceedings|2||1381|Nuclear track densities in olivine grains from seventeen different locations within the top 7 cm of the double drive 74002-74001 collected at Shorty Crater were obtained. The track densities indicate significant reworking of the soil only to a depth of 4 cm. Allowing for 2 cms of missing material (Fruchter et al., 1978), this corresponds to a 6 cm reworking depth during the last 10 m.y. (when the material was presumably emplaced).|
1978LPSC....9.1945C|1978|Sublimate morphology on 74001 and 74002 orange and black glassy droplets.|Clanton, U. S., McKay, D. S., Waits, G., Fuhrman, R.|Lunar and Planetary Science Conference Proceedings|2||1945|SEM-EDX analysis of the surface morphology of the 74001 and 74002 orange and black glassy droplets has revealed the presence of ubiquitous micromound coatings. Assuming that the diameter of an individual micromound is an indication of total coating thickness, then the thickness of this volatile and metal-rich layer ranges from less than 20 A to over 300 A in thickness. On rare droplets the micromound coating is partially covered by a sparse population of crystals and masses that are essentially NaCl in composition. Additionally, an irregular mass on the surface of one black droplet may contain free sulfur. Amoeboid masses of iron, some with incipient crystal faces, are also present on a few droplet surfaces. The above features, i.e., halite crystals, sulfur-rich masses and amoeboid iron, are rare; the more common occurrence of metals and volatiles is in the micromound coating. Based on our observations of several hundred spheres from both Apollo and Luna missions, the classic micromound coating is unique to the Apollo 15 green and Apollo 17 orange and black droplets. Although some investigators have proposed various impact sequences to produce these unique droplets, the volcanic fire fountain origin is favored.|
